Solaris by Stanisław Lem,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1498631519i/95558.jpg,https://www.goodreads.com/book/show/95558.Solaris
Song of Solomon by Tony Morrison,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1632283992i/11334.jpg,https://www.goodreads.com/book/show/11334.Song_of_Solomon
Tender is the Night by F. Scott Fitzgerald,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1559763775i/46164.jpg,https://www.goodreads.com/book/show/46164.Tender_Is_the_Night
The Blade Itself by Joe Abercrombie,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1747782133i/944073.jpg,https://www.goodreads.com/book/show/944073.The_Blade_Itself
"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma by Bessel van der Kolk",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1594559067i/18693771.jpg,https://www.goodreads.com/book/show/18693771-the-body-keeps-the-score
The Count of Monte Cristo by Alexandre Dumas,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1724863997i/7126.jpg,https://www.goodreads.com/book/show/7126.The_Count_of_Monte_Cristo#CommunityReviews
The Crown Tower (The Riyria Chronicles #1) by Michael J. Sullivan,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1654573996i/16043804.jpg,https://www.goodreads.com/book/show/16043804-the-crown-tower
The Dispossessed: An Ambiguous Utopia by Ursula K. Le Guin,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1353467455i/13651.jpg,https://www.goodreads.com/book/show/13651.The_Dispossessed
The Emperor’s Soul by Brandon Sanderson,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1659906200i/13578175.jpg,https://www.goodreads.com/book/show/13578175-the-emperor-s-soul
The Expanse (1–9) by James S.A. Corey,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1411013134i/8855321.jpg,https://www.goodreads.com/book/show/8855321-leviathan-wakes
The First Fifteen Lives of Harry August by Claire North,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1493966668i/35066358.jpg,https://www.goodreads.com/book/show/35066358-the-first-fifteen-lives-of-harry-august
The Forever War by Joe Haldeman,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1386852511i/21611.jpg,https://www.goodreads.com/book/show/21611.The_Forever_War
The Frozen River by Ariel Lawhon,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1730395034i/112975658.jpg,https://www.goodreads.com/book/show/112975658-the-frozen-river
The Golden Compass (His Dark Materials #1) by Philip Pullman,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1505766203i/119322.jpg,https://www.goodreads.com/book/show/119322.The_Golden_Compass
The Great Gatsby by F. Scott Fitzgerald,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1650033243i/41733839.jpg,https://www.goodreads.com/book/show/41733839-the-great-gatsby
The Hate U Give by Angie Thomas,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1636851138i/58651625.jpg,https://www.goodreads.com/book/show/58651625-the-hate-u-give
The Hitchhiker’s Guide to the Galaxy by Douglas Adams,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1531891848i/11.jpg,https://www.goodreads.com/book/show/11.The_Hitchhiker_s_Guide_to_the_Galaxy
The Hobbit by J.R.R. Tolkien,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327444275i/2239768.jpg,https://www.goodreads.com/book/show/2239768.The_Hobbit
The Idea of You by Robinne Lee,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1620916971i/31450913.jpg,https://www.goodreads.com/book/show/31450913-the-idea-of-you
The Intelligent Investor by Benjamin Graham,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1409602421i/106835.jpg,https://www.goodreads.com/book/show/106835.The_Intelligent_Investor
The Kaiju Preservation Society by John Scalazi,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1624897234i/57693406.jpg,https://www.goodreads.com/book/show/57693406-the-kaiju-preservation-society
The Last Hour of Gann by R. Lee Smith,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1380286253i/18589656.jpg,https://www.goodreads.com/book/show/18589656-the-last-hour-of-gann
The Lathe of Heaven by Ursula K. Le Guin,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1433084322i/59924.jpg,https://www.goodreads.com/book/show/59924.The_Lathe_of_Heaven
The Lathe of Heaven by Ursula K. Le Guin,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1433084322i/59924.jpg,https://www.goodreads.com/book/show/59924.The_Lathe_of_Heaven
The Library at Mount Char by Scott Hawkins,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1453225113i/26892110.jpg,https://www.goodreads.com/book/show/26892110-the-library-at-mount-char
The Lord of the Rings (3) by J.R.R. Tolkien,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1566425108i/33.jpg,https://www.goodreads.com/book/show/33.The_Lord_of_the_Rings
The Making of the Atomic Bomb by Richard Rhodes,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1440621221i/16884.jpg,https://www.goodreads.com/book/show/16884.The_Making_of_the_Atomic_Bomb
The Name of the Wind by Patrick Rothfuss,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1704917687i/186074.jpg,https://www.goodreads.com/book/show/186074.The_Name_of_the_Wind
The Princess Bride by William Goldman,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327903636i/21787.jpg,https://www.goodreads.com/book/show/21787.The_Princess_Bride
The Priory of the Orange Tree by Samantha Shannon,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1700221964i/40275288.jpg,https://www.goodreads.com/book/show/40275288-the-priory-of-the-orange-tree
The Remains of the Day by Kazuo Ishiguro,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327128714i/28921.jpg,https://www.goodreads.com/book/show/28921.The_Remains_of_the_Day
The Secret History by Donna Tartt,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1751820530i/29044.jpg,https://www.goodreads.com/book/show/29044.The_Secret_History
The Song of Achilles by Madeline Miller,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1357177533i/13623848.jpg,https://www.goodreads.com/book/show/13623848-the-song-of-achilles
The Space Between Here and Now by Sarah Suk,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1675760159i/102188221.jpg,https://www.goodreads.com/book/show/102188221-the-space-between-here-now
The Sparrow by Mary Doria Russell,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1230829367i/334176.jpg,https://www.goodreads.com/book/show/334176.The_Sparrow
The Stand by Stephen King,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1674820514i/87591651.jpg,https://www.goodreads.com/book/show/87591651-the-stand
The Will of the Many (Hierarchy #1) by James Islington,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1670363463i/58416952.jpg,https://www.goodreads.com/book/show/58416952-the-will-of-the-many
The Years of Rice and Salt by Kim Stanley Robinson,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1419079388i/2723.jpg,https://www.goodreads.com/book/show/2723.The_Years_of_Rice_and_Salt
Think and Grow Rich by Napoleon Hill,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1463241782i/30186948.jpg,https://www.goodreads.com/book/show/30186948-think-and-grow-rich
To Be Honest by Maggie Ann Martin,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1673882374i/78510826.jpg,https://www.goodreads.com/book/show/35796025-to-be-honest
"To Be Taught, If Fortunate by Becky Chambers",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1552530326i/43190272.jpg,https://www.goodreads.com/book/show/43190272-to-be-taught-if-fortunate
War and Peace by Leo Tolstoy,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1413215930i/656.jpg,https://www.goodreads.com/book/show/656.War_and_Peace
Warbreaker by Brandon Sanderson,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1296361790i/8120570.jpg,https://www.goodreads.com/book/show/8120570-warbreaker
Wayfarers (1–4) by Becky Chambers,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1405532474i/22733729.jpg,https://www.goodreads.com/book/show/22733729-the-long-way-to-a-small-angry-planet
Where the Red Fern Grows by Wilson Rawls,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1518702249i/10365.jpg,https://www.goodreads.com/book/show/10365.Where_the_Red_Fern_Grows
Yellowface by R.F. Kuang,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1671336608i/62047984.jpg,https://www.goodreads.com/book/show/62047984-yellowface
